diet,Homo sapiens,Ictalurus punctatus,Esox lucius,Salmo salar,Oreochromis niloticus,Sarcophilus harrisii,Pongo abelii,Vulpes vulpes,Ailuropoda melanoleuca,Felis catus,Panthera pardus,Delphinapterus leucas,Physeter catodon,Loxodonta africana,Sus scrofa,Camelus dromedarius,Bos taurus,Capra hircus,Ovis aries,Mus caroli,Mus musculus,Mus pahari,Heterocephalus glaber,Monodelphis domestica,Phascolarctos cinereus,Seriola dumerili,Rhinopithecus bieti,Rhinopithecus roxellana,Oncorhynchus tshawytscha,Cynoglossus semilaevis,Seriola lalandi dorsalis
Homo sapiens,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116,6.276046116
Ictalurus punctatus,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494,32.81985494
Esox lucius,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825
Salmo salar,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825
Oreochromis niloticus,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257,15.69508257
Sarcophilus harrisii,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312,42.19581312
Pongo abelii,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053,10.0355053
Vulpes vulpes,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,0,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332,38.85989332
Ailuropoda melanoleuca,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639,8.337852639
Felis catus,14.61705904,14.61705904,14.61705904,0,14.61705904,0,14.61705904,14.61705904,0,14.61705904,14.61705904,14.61705904,14.61705904,14.61705904,0,14.61705904,14.61705904,14.61705904,14.61705904,0,14.61705904,0,14.61705904,0,14.61705904,14.61705904,14.61705904,14.61705904,0,0,14.61705904
Panthera pardus,14.61705904,14.61705904,14.61705904,0,14.61705904,0,14.61705904,14.61705904,0,14.61705904,14.61705904,14.61705904,14.61705904,14.61705904,0,14.61705904,14.61705904,14.61705904,14.61705904,0,14.61705904,0,14.61705904,0,14.61705904,14.61705904,14.61705904,14.61705904,0,0,14.61705904
Delphinapterus leucas,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273,40.19912273
Physeter catodon,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445,37.03657445
Loxodonta africana,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174
Sus scrofa,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659,17.49694659
Camelus dromedarius,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174
Bos taurus,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174
Capra hircus,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174
Ovis aries,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174
Mus caroli,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684
Mus musculus,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684
Mus pahari,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684,15.48024684
Heterocephalus glaber,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174
Monodelphis domestica,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535,30.51597535
Phascolarctos cinereus,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174
Seriola dumerili,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825
Rhinopithecus bieti,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174,4.392201174
Rhinopithecus roxellana,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588,6.199934588
Oncorhynchus tshawytscha,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825
Cynoglossus semilaevis,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825,42.30748825
Seriola lalandi dorsalis,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661,34.92821661
