species_name,class,order,family,genus,species,subspecies,troph,protein (g/100g),fat (g/100g),iron (mg/100g),zinc (mg/100g),vita (RE/100g),vitb12 (mcg/100g),vitd (mcg/100g),kcal,chol (mg/100g)
Acanthistius_brasilianus,Actinopterygii,Perciformes,Serranidae,Acanthistius,brasilianus,,4,17.9,1,NA,NA,NA,NA,NA,83,NA
Acanthogobius_flavimanus,Actinopterygii,Gobioidei,Gobiidae,Acanthogobius,flavimanus,,3.39,18.9,0.65,2.1,0.6,7,2.7,3,86.5,92
Acanthogobius_hasta,Actinopterygii,Gobioidei,Gobiidae,Acanthogobius,hasta,,3,16.4,0.7,0.9,NA,NA,NA,NA,77,NA
Acanthopagrus_schlegelii,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,schlegelii,,3.24,19.6,4.5,0.75,0.8,12,3.7,4,125.5,78
Acheilognathus_rhombeus,Actinopterygii,Cypriniformes,Cyprinidae,Acheilognathus,rhombeus,,2.1,17.5,1.2,1.2,NA,NA,NA,NA,86,NA
Ailia_coila,Actinopterygii,Siluriformes,Schilbeidae,Ailia,coila,,3.4,15.3,6.2,0.9,NA,NA,NA,NA,117,NA
Alcichthys_elongatus,Actinopterygii,Scorpaeniformes,Cottidae,Alcichthys,elongatus,,3.6,17.1,0.1,0.8,NA,NA,NA,NA,74,NA
Allothunnus_fallai,Actinopterygii,Perciformes,Scombridae,Allothunnus,fallai,,3.7,19.8,23.9,1.3,1.1,227,0.7,NA,293,66
Amblypharyngodon_mola,Actinopterygii,Cypriniformes,Cyprinidae,Amblypharyngodon,mola,,3.3,17.1,4.4,3.8,3.19,2680,NA,NA,108,NA
Ammodytes_personatus,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,personatus,,3.09,16.6,5.15,7.9,3.9,200,11,21,119.5,200
Anabas_testudineus,Actinopterygii,Perciformes,Anabantidae,Anabas,testudineus,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchoa_compressa,Actinopterygii,Clupeiformes,Engraulidae,Anchoa,compressa,,3.4,16.9,10.1,1.4,NA,NA,NA,NA,167,NA
Anguilla_japonica,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,japonica,,3.55,15.75,18.2,1.05,1.4,2400,3.5,18,239,230
Anoplopoma_fimbria,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,,3.84,13.35,13.25,1.25,0.3,1500,2.8,3.5,181,50
Arctoscopus_japonicus,Actinopterygii,Perciformes,Trichodontidae,Arctoscopus,japonicus,,3.51,14.1,5.7,0.5,0.6,20,1.7,2,113,100
Argyrops_bleekeri,Actinopterygii,Perciformes,Sparidae,Argyrops,bleekeri,,3.8,17.8,2.7,9.1,NA,NA,NA,NA,101,NA
Auxis_rochei,Actinopterygii,Perciformes,Scombridae,Auxis,rochei,,4.3,24.1,5.9,1.7,NA,NA,NA,NA,159,NA
Auxis_thazard,Actinopterygii,Perciformes,Scombridae,Auxis,thazard,,4.4,23.4,7.3,1.9,NA,NA,NA,NA,168,NA
Bagrus_bajad,Actinopterygii,Siluriformes,Bagridae,Bagrus,bajad,,4,27.5,1.1,1.1,0.73,9,2.8,0.8,120,NA
Banjos_banjos,Actinopterygii,Perciformes,Banjosidae,Banjos,banjos,,4,20.8,0.9,1.4,NA,NA,NA,NA,97,NA
Barbonymus_gonionotus,Actinopterygii,Cypriniformes,Cyprinidae,Barbonymus,gonionotus,,2.4,6.25,NA,NA,NA,NA,2,NA,NA,NA
Bero_elegans,Actinopterygii,Scorpaeniformes,Cottidae,Bero,elegans,,3.4,19.5,0.4,0.9,NA,NA,NA,NA,86,NA
Beryx_decadactylus,Actinopterygii,Beryciformes,Berycidae,Beryx,decadactylus,,4.1,18.5,4.5,2,NA,NA,NA,NA,122,NA
Beryx_splendens,Actinopterygii,Beryciformes,Berycidae,Beryx,splendens,,4.27,17.8,9,0.3,0.3,63,1.1,2,160,60
Bodianus_bilunulatus,Actinopterygii,Perciformes,Labridae,Bodianus,bilunulatus,,3.4,20.3,1.9,1.5,NA,NA,NA,NA,104,NA
Boreogadus_saida,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,,3.1,NA,NA,0.25,0.37,24,NA,NA,NA,NA
Brama_japonica,Actinopterygii,Perciformes,Bramidae,Brama,japonica,,4.4,18.9,2.6,0.4,NA,NA,NA,NA,104,NA
Branchiostegus_japonicus,Actinopterygii,Perciformes,Branchiostegidae,Branchiostegus,japonicus,,3.4,18.45,1.9,0.45,0.3,27,2.1,1,97.5,52
Caesio_xanthonota,Actinopterygii,Perciformes,Caesionidae,Caesio,xanthonota,,3.4,21.1,0.8,0.4,0.4,19,0.41,NA,93,5
Callanthias_japonicus,Actinopterygii,Perciformes,Callanthiidae,Callanthias,japonicus,,3.4,17.3,2.1,0.7,NA,NA,NA,NA,94,NA
Callionymus_japonicus,Actinopterygii,Perciformes,Callionymidae,Callionymus,japonicus,,3.4,16.5,0.6,1.3,NA,NA,NA,NA,78,NA
Caranx_sexfasciatus,Actinopterygii,Perciformes,Carangidae,Caranx,sexfasciatus,,4.5,24,1.1,1.7,NA,NA,NA,NA,112,NA
Carassius_auratus,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,,2.78,18.15,2.15,1.95,1.9,12,5.5,4,97.5,64
Catla_catla,Actinopterygii,Cypriniformes,Cyprinidae,Catla,catla,,2.8,19.9,2.6,0.6,0.48,3,NA,0,103,NA
Cephalopholis_miniata,Actinopterygii,Perciformes,Serranidae,Cephalopholis,miniata,,4.3,18.4,0.5,0.4,0.4,0,1,NA,81,37
Channa_punctata,Actinopterygii,Perciformes,Channidae,Channa,punctatus,,3.8,17.3,2.4,1.5,1.08,191,NA,NA,91,NA
Channa_striata,Actinopterygii,Perciformes,Channidae,Channa,striata,,3.4,17.7,3.3,1,0.31,NA,NA,NA,101,NA
Nemadactylus_bergi,Actinopterygii,Perciformes,Cheilodactylidae,Cheilodactylus,bergi,,3.2,18.4,2.3,NA,NA,NA,NA,NA,95,NA
Cheilopogon_agoo,Actinopterygii,Beloniformes,Exocoetidae,Cypselurus,agoo,agoo,3.4,22.2,0.5,0.9,NA,NA,NA,NA,99,NA
Chelidonichthys_spinosus,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys,spinosus,,3.79,19.75,2.6,0.5,0.5,9,2.2,3,108,55
Chelidoperca_hirundinacea,Actinopterygii,Perciformes,Serranidae,Chelidoperca,hirundinacea,,4,20.1,0.6,1.5,NA,NA,NA,NA,90,NA
Chelon_parsia,Actinopterygii,Mugiliformes,Mugilidae,Chelon,parsia,,2,18.7,5,2.1,1.43,NA,NA,NA,120,NA
Chirolophis_japonicus,Actinopterygii,Perciformes,Stichaeidae,Chirolophis,japonicus,,3.6,17.2,0.1,0.6,NA,NA,NA,NA,74,NA
Chitala_chitala,Actinopterygii,Osteoglossiformes,Notopteridae,Chitala,chitala,,3.7,17.8,2.8,1.6,0.61,30,NA,NA,96,NA
Choerodon_azurio,Actinopterygii,Perciformes,Labridae,Choerodon,azurio,,3.5,20.3,0.5,0.7,NA,NA,NA,NA,90,NA
Chromis_notata,Actinopterygii,Perciformes,Pomacentridae,Chromis,notata,,3.4,19.5,0.4,0.7,NA,NA,NA,NA,88,NA
Cirrhinus_cirrhosus,Actinopterygii,Cypriniformes,Cyprinidae,Cirrhinus,cirrhosus,,2.4,18.6,3,1.8,0.29,11,NA,NA,102,NA
Clarias_anguillaris,Actinopterygii,Siluriformes,Clariidae,Clarias,anguillaris,,3.4,25.8,1.8,1.4,0.8,16,2.6,1.3,120,NA
Clarias_batrachus,Actinopterygii,Siluriformes,Clariidae,Clarias,batrachus,,3.4,10.925,4.6,0.8,0.53,15,NA,NA,103,NA
Cleisthenes_pinetorum,Actinopterygii,Pleuronectiformes,Pleuronectidae,Cleisthenes,pinetorum,,3.4,18.1,0.6,4,NA,NA,NA,NA,82,NA
Clidoderma_asperrimum,Actinopterygii,Pleuronectiformes,Pleuronectidae,Clidoderma,asperrimum,,3.8,17.4,0.2,0.6,NA,NA,NA,NA,76,NA
Clupea_harengus,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,harengus,3.4,17.96,8.72,1.1,0.99,NA,NA,9.5,158,NA
Clupea_pallasii_pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pallasii,,3.2,16.85,15.1,0.9,1.1,18,17.4,22,214.5,68
Cobitis_sinensis,Actinopterygii,Salmoniformes,Salmonidae,Cobitis,sinensis,,3.3,17.5,3.3,2.7,NA,NA,NA,NA,107,NA
Coilia_dussumieri,Actinopterygii,Clupeiformes,Engraulidae,Coilia,dussumieri,,3.3,13.2,2.1,4.5,1.25,NA,NA,NA,71,NA
Coilia_nasus,Actinopterygii,Clupeiformes,Engraulidae,Coilia,nasus,,3,15.9,10.8,1.1,NA,NA,NA,NA,169,NA
Trichogaster_fasciata,Actinopterygii,Perciformes,Belontiidae,Colisa,fasciata,,3.1,15.8,4.6,0.9,1.35,39,NA,NA,105,NA
Collichthys_niveatus,Actinopterygii,Perciformes,Sciaenidae,Collichthys,niveatus,,3.4,17,3.9,1.3,NA,NA,NA,NA,109,NA
Cololabis_saira,Actinopterygii,Beloniformes,Scomberesocidae,Cololabis,saira,,3.71,20.15,14.15,1.5,0.8,16,15.4,14.9,219.5,65
Conger_myriaster,Actinopterygii,Anguilliformes,Congridae,Conger,myriaster,,3.98,17.35,7.85,0.65,0.7,500,2.3,0.4,148,140
Coregonus_autumnalis,Actinopterygii,Salmoniformes,Coregonidae,Coregonus,autumnalis,,3.7,16.7,3.84,0.82,0.63,NA,NA,NA,115.84,NA
Coregonus_clupeaformis,Actinopterygii,Salmoniformes,Coregonidae,Coregonus,clupeaformis,,3.2,16.88,2.45,0.31,0.51,11.31,NA,4.4,99.8,NA
Coreoperca_kawamebari,Actinopterygii,Perciformes,Percichthyidae,Coreoperca,kawamebari,,3.8,19.5,1,1.1,NA,NA,NA,NA,92,NA
Coryphaena_hippurus,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena,hippurus,,3.83,17.3,1.5,0.7,0.5,8,2.6,5,87,55
Cottus_poecilopus,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,poecilopterus,,3,15,4.2,2.8,NA,NA,NA,NA,104,NA
Cottus_pollux,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,pollux,,3.32,15,5,2.8,1.7,180,28.2,3,111,220
Crossocheilus_latius,Actinopterygii,Cypriniformes,Cyprinidae,Crossocheilus,latius,,2.4,15.3,3.9,2.2,1.09,NA,NA,NA,97,NA
Ctenopharyngodon_idella,Actinopterygii,Cypriniformes,Cyprinidae,Ctenopharyngodon,idellus,,2,17.1,1.7,1.7,NA,NA,NA,NA,89,NA
Cynoglossus_joyneri,Actinopterygii,Pleuronectiformes,Cynoglossidae,Cynoglossus,joyneri,,3.5,18.6,0.4,1,NA,NA,NA,NA,84,NA
Cynoglossus_semilaevis,Actinopterygii,Pleuronectiformes,Cynoglossidae,Cynoglossus,semilaevis,,4,19.2,1.15,0.3,NA,NA,NA,NA,93,NA
Cynoscion_striatus,Actinopterygii,Perciformes,Sciaenidae,Cynoscion,striatus,,3.9,17.8,2.8,2.2,NA,NA,NA,NA,97,NA
Cyprinus_carpio,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,,3.38,17.96666667,5.233333333,0.933333333,0.965,3,10,10.3,124,86
Cyprinus_carpio_nudus,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,nudus,3.38,16.8,11.2,1.2,NA,NA,NA,NA,178,NA
Dactyloptena_peterseni,Actinopterygii,Scorpaeniformes,Dactylopteridae,Daicocus,peterseni,,3.5,19.2,5.1,1.2,NA,NA,NA,NA,129,NA
Decapterus_maruadsi,Actinopterygii,Perciformes,Cheilodactylidae,Decapterus,maruadsi,,3.4,18.45,3.45,1.45,1.3,11,9.9,18.7,112.5,66
Decapterus_muroadsi,Actinopterygii,Perciformes,Carangidae,Decapterus,muroadsi,,3.4,23.6,6.9,1.6,1,4,12.8,6,166,64
Dentex_tumifrons,Actinopterygii,Lophiiformes,Lophiidae,Dentex,tumifrons,,3.76,19.4,2.4,0.35,0.4,50,3.2,4,105,67
Dexistes_rikuzenius,Actinopterygii,Pleuronectiformes,Pleuronectidae,Dexistes,rikuzenius,,3,19.4,1.1,0.6,NA,NA,NA,NA,93,NA
Diagramma_pictum,Actinopterygii,Perciformes,Haemulidae,Diagramma,pictum,,3.7,19.8,0.2,0.4,0.6,29,2.11,NA,84,47
Dictyosoma_burgeri,Actinopterygii,Perciformes,Stichaeidae,Dictyosoma,burgeri,,2.5,22,1.2,1.2,NA,NA,NA,NA,107,NA
Dissostichus_eleginoides,Actinopterygii,Perciformes,Nototheniidae,Dissostichus,eleginoides,,4,13.3,22.9,0.1,0.3,1800,0.6,17,272,59
Ditrema_temminckii_temminckii,Actinopterygii,Perciformes,Embiotocidae,Ditrema,temminckii,temminckii,3.7,18.9,0.9,1,NA,NA,NA,NA,89,NA
Doederleinia_berycoides,Actinopterygii,Perciformes,Acropomatidae,Doederleinia,berycoides,,3.9,22.3,5.3,0.3,NA,NA,NA,NA,144,NA
Eleginus_gracilis,Actinopterygii,Gadiformes,Gadidae,Eleginus,gracilis,,4.1,12.6,4.3,4,NA,NA,NA,NA,97,NA
Engraulis_anchoita_hubbs_larini,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,anchoita,,2.5,19.2,5.4,NA,NA,NA,NA,NA,129,NA
Engraulis_encrasicolus,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,encrasicolus,,3.1,22.8,0.9,0.9,1.9,1,2.1,3.5,99,NA
Engraulis_japonicus,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,japonicus,,3.14,17.95,8.75,2.25,1,11,13.9,4,159.5,70
Engraulis_ringens,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,ringens,,2.9,21,9,1.4,NA,NA,NA,NA,165,NA
Epinephelus_aeneus,Actinopterygii,Perciformes,Serranidae,Epinephelus,aeneus,,4,33.8,4.3,1.4,0.65,30,6.6,7.5,174,NA
Epinephelus_akaara,Actinopterygii,Perciformes,Serranidae,Epinephelus,akaara,,4,21,1.1,1.3,NA,NA,NA,NA,99,NA
Epinephelus_awoara,Actinopterygii,Perciformes,Serranidae,Epinephelus,awoara,,3.6,19.4,1.2,0.9,NA,NA,NA,NA,95,NA
Epinephelus_epistictus,Actinopterygii,Perciformes,Serranidae,Epinephelus,epistictus,,4,19.3,1.9,1,NA,NA,NA,NA,100,NA
Hyporthodus_septemfasciatus,Actinopterygii,Perciformes,Serranidae,Epinephelus,septemfasciatus,,4,18.8,1.3,1,NA,NA,NA,NA,93,NA
Chanodichthys_dabryi,Actinopterygii,Cypriniformes,Cyprinidae,Erythroculter,hypselonotus,,3.3,18.7,1.1,1.1,NA,NA,NA,NA,90,NA
Esox_lucius,Actinopterygii,Esociformes,Esocidae,Esox,lucius,,4.1,17.83,0.58,0.18,0.7,NA,NA,NA,84.2,NA
Ethmalosa_fimbriata,Actinopterygii,Clupeiformes,Clupeidae,Ethmalosa,fimbriata,,2.5,19.1,2.9,1.7,1.6,NA,NA,NA,103,NA
Etrumeus_sadina,Actinopterygii,Clupeiformes,Clupeidae,Etrumeus,teres,,3.56,19.9,5.5,1.9,1.3,130,14.2,9,137,60
Eumicrotremus_orbis,Actinopterygii,Scorpaeniformes,Cyclopteridae,Eumicrotremus,orbis,,3.2,7.2,3,1.2,NA,NA,NA,NA,62,NA
Euthynnus_affinis,Actinopterygii,Perciformes,Scombridae,Euthynnus,affinis,,4.5,25,2,1.3,0.27,31,NA,3.12,118,47
Eutropiichthys_vacha,Actinopterygii,Siluriformes,Schilbeidae,Eutropiichthys,vacha,,3.9,16.1,6.4,0.7,NA,NA,NA,NA,122,NA
Evistias_acutirostris,Actinopterygii,Perciformes,Pentacerotidae,Evistias,acutirostris,,3.5,18.6,2.6,1.2,NA,NA,NA,NA,103,NA
Synchiropus_altivelis,Actinopterygii,Perciformes,Callionymidae,Foetorepus,altivelis,,3.8,16.9,0.5,0.6,NA,NA,NA,NA,77,NA
Gadus_macrocephalus,Actinopterygii,Gadiformes,Gadidae,Gadus,macrocephalus,,4.16,18.55,0.25,0.3,0.5,10,1.3,1,81.5,58
Gadus_morhua,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,,4.1,17.755,0.542666666,0.25,0.395,12,0.91,2.758333333,77,43
Genypterus_blacodes,Actinopterygii,Ophidiiformes,Ophidiidae,Genypterus,blacodes,,4.2,15.8,0.9,NA,NA,NA,NA,NA,72,NA
Genypterus_capensis,Actinopterygii,Ophidiiformes,Ophidiidae,Genypterus,capensis,,4.44,18.2,0.1,0.3,0.5,5,1.3,0,78,56
Girella_punctata,Actinopterygii,Perciformes,Kyphosidae,Girella,punctata,,2.86,19.8,2.95,0.7,0.9,55,1.8,1,111.5,56
Glossanodon_semifasciatus,Actinopterygii,Salmoniformes,Argentinidae,Glossanodon,semifasciatus,,3.14,18.7,1.2,0.4,0.4,75,3.4,0,91,120
Glossogobius_giuris,Actinopterygii,Perciformes,Gobiidae,Glossogobius,giuris,,3.7,14.7,2.5,1.2,0.93,NA,NA,NA,81,NA
Glyptocephalus_stelleri,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,stelleri,,3.2,18.2,0.4,0.6,NA,NA,NA,NA,83,NA
Xenocephalus_elongatus,Actinopterygii,Perciformes,Uranoscopidae,Gnathagnus,elongatus,,4.3,17.4,0.2,0.4,NA,NA,NA,NA,76,NA
Gnathopogon_caerulescens,Actinopterygii,Cypriniformes,Cyprinidae,Gnathopogon,caerulescens,,3.23,17.5,4.1,1.3,3.4,250,9,5,113,210
Cheilodactylus_quadricornis,Actinopterygii,Perciformes,Cheilodactylidae,Goniistius,quadricornis,,2.7,19.2,3.1,1.3,NA,NA,NA,NA,110,NA
Cheilodactylus_zonatus,Actinopterygii,Scorpaeniformes,Scorpaenidae,Goniistius,zonatus,,3.3,19.8,2.3,1.3,NA,NA,NA,NA,106,NA
Gudusia_chapra,Actinopterygii,Clupeiformes,Clupeidae,Gudusia,chapra,,3.1,15.4,4.9,4.8,1.97,6,NA,NA,106,NA
Gymnocanthus_herzensteini,Actinopterygii,Scorpaeniformes,Cottidae,Gymnocanthus,herzensteini,,3.3,19.5,0.9,2.5,NA,NA,NA,NA,93,NA
Halieutaea_stellata,Actinopterygii,Lophiiformes,Ogcocephalidae,Halieutaea,stellata,,3.5,15.8,0.5,1,NA,NA,NA,NA,71,NA
Hapalogenys_analis,Actinopterygii,Perciformes,Haemulidae,Hapalogenys,mucronatus,,4.1,18.5,2.6,1.1,NA,NA,NA,NA,103,NA
Hapalogenys_nigripinnis,Actinopterygii,Perciformes,Haemulidae,Hapalogenys,nigripinnis,,4,19,2.3,1.3,NA,NA,NA,NA,102,NA
Helicolenus_dactylopterus_labillei,Actinopterygii,Scorpaeniformes,Scorpaenidae,Helicolenus,dactylopterus,,3.5,17.1,4.5,NA,NA,NA,NA,NA,109,NA
Helicolenus_hilgendorfii,Actinopterygii,Scorpaeniformes,Scorpaenidae,Helicolenus,hilgendorfi,,3.2,16.7,3.9,0.7,NA,NA,NA,NA,108,NA
Hemibarbus_labeo,Actinopterygii,Cypriniformes,Cyprinidae,Hemibarbus,labeo,,3.5,17.3,3,1,NA,NA,NA,NA,105,NA
