species_name,class,order,family,genus,species,subspecies,troph,protein (g/100g),fat (g/100g),iron (mg/100g),zinc (mg/100g),vita (RE/100g),vitb12 (mcg/100g),vitd (mcg/100g),kcal,chol (mg/100g)
Pogonias_cromis,Actinopterygii,Perciformes,Sciaenidae,Pogonias,cromis,,3.9,18.8,0.8,NA,NA,NA,NA,NA,84,NA
Polydactylus_quadrifilis,Actinopterygii,Perciformes,Polynemidae,Polynemus,quadrifilis,,4,17.6,1.6,0.3,1,NA,NA,NA,85,NA
Pomatomus_saltatrix,Actinopterygii,Perciformes,Pomatomidae,Pomatomus,saltatrix,,4.5,21.5,0.4,1.4,NA,NA,NA,NA,92,NA
Priacanthus_macracanthus,Actinopterygii,Perciformes,Priacanthidae,Priacanthus,macracanthus,,4.1,18.9,1.4,1.2,NA,NA,NA,NA,93,NA
Prionotus_punctatus,Actinopterygii,Scorpaeniformes,Triglidae,Prionotus,punctatus,,3.8,18.9,2.4,NA,NA,NA,NA,NA,98,NA
Protonibea_diacanthus,Actinopterygii,Perciformes,Sciaenidae,Protonibea,diacanthus,,3.5,18.6,2.9,0.4,0.65,17,NA,0.6,100,NA
Psenopsis_anomala,Actinopterygii,Perciformes,Centrolophidae,Psenopsis,anomala,,4,16.35,7,0.55,0.8,95,2.7,2,135,57
Pseudaesopia_japonica,Actinopterygii,Pleuronectiformes,Soleidae,Pseudaesopia,japonica,,3.4,18.4,1.8,1.1,NA,NA,NA,NA,95,NA
Pseudambassis_ranga,Actinopterygii,Perciformes,Ambassidae,Parambassis,ranga,,3.3,15.5,5.9,2,2.45,106,NA,NA,115,NA
Pseudoblennius_cottoides,Actinopterygii,Scorpaeniformes,Cottidae,Pseudoblennius,cottoides,,4.3,22.4,0.7,1.7,NA,NA,NA,NA,101,NA
Pseudocaranx_dentex,Actinopterygii,Perciformes,Carangidae,Pseudocaranx,dentex,,3.92,21.9,8,0.7,1.1,10,3.2,18,168,71
Pseudogobio_esocinus,Actinopterygii,Cypriniformes,Cyprinidae,Pseudogobio,esocinus,,3.3,15.7,1.1,1.2,NA,NA,NA,NA,77,NA
Pseudolabrus_japonicus,Actinopterygii,Perciformes,Labridae,Pseudolabrus,japonicus,,3.1,18.9,1.9,1.1,NA,NA,NA,NA,98,NA
Pseudoplatystoma_corruscans,Actinopterygii,Siluriformes,Pimelodidae,Pseudoplatystoma,corruscans,,4.5,18.2,4,1.9,NA,NA,NA,NA,110,NA
Pseudorasbora_parva,Actinopterygii,Cypriniformes,Cyprinidae,Psuedorasbora,parva,,3.1,16.4,5.1,2.5,NA,NA,NA,NA,118,NA
Pterocaesio_digramma,Actinopterygii,Perciformes,Caesionidae,Pterocaesio,digramma,,3.39,20.2,1.5,0.5,0.7,7,4.4,2,100,50
Systomus_sarana,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,sarana,,2.9,17.4,11.7,0.6,0.74,NA,NA,NA,175,NA
Puntius_sophore,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,sophore,,2.8,17.6,2.6,2,3,NA,NA,NA,94,NA
Rastrelliger_brachysoma,Actinopterygii,Perciformes,Scombridae,Rastrelliger,brachysoma,,2.7,6.25,NA,NA,NA,NA,NA,NA,NA,NA
Callionymus_kanagurta,Actinopterygii,Perciformes,Scombridae,Rastrelliger,kanagurta,,3.2,20.51,1.8,NA,NA,NA,NA,NA,NA,NA
Repomucenus_lunatus,Actinopterygii,Perciformes,Callionymidae,Repomucenus,lunatus,,3.3,18.5,0.1,0.8,NA,NA,NA,NA,81,NA
Rexea_prometheoides,Actinopterygii,Perciformes,Gempylidae,Rexea,prometheoides,,4.2,20,5.7,0.8,NA,NA,NA,NA,138,NA
Salangichthys_microdon,Actinopterygii,Salmoniformes,Salangidae,Salangichthys,microdon,,3.68,13.45,1.55,0.55,1.2,50,3.3,1,72.5,220
Salminus_brasiliensis,Actinopterygii,Characiformes,Bryconidae,Salminus,maxillosus,,3.8,18.8,0.5,NA,NA,NA,NA,NA,80,NA
Salmo_salar,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,,4.5,20.1,16.1,0.3,0.4,17,8.9,10,237,72
Salmophasia_bacaila,Actinopterygii,Cypriniformes,Cyprinidae,Salmophasia,bacaila,,3.2,18.1,5.2,5.4,3.1,NA,NA,NA,119,NA
Salmophasia_phulo,Actinopterygii,Cypriniformes,Cyprinidae,Salmophasia,phulo,,3.2,15.3,3.7,1.9,3.1,NA,NA,NA,95,NA
Salvelinus_alpinus,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,alpinus,,4.4,18.75,2.52,0.34,0.42,31.5,NA,25.8,105.09,NA
Salvelinus_leucomaenis,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,leucomaenis,,4.35,19,3.6,0.3,0.8,5,4.2,5,114,80
Salvelinus_namaycush,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,namaycush,,4.3,15.775,2.425,0.23,0.62,40,NA,19.7,101.62,NA
Sarda_orientalis,Actinopterygii,Perciformes,Scombridae,Sarda,orientalis,,4.2,24.6,3.1,2.1,NA,NA,NA,NA,134,NA
Sarda_sarda,Actinopterygii,Perciformes,Scombridae,Sarda,sarda,,4.5,22,14.5,NA,NA,NA,NA,NA,219,NA
Sardina_pilchardus,Actinopterygii,Clupeiformes,Clupeidae,Sardina,pilchardus,,3.1,17.33333333,7.305,NA,NA,NA,NA,21.2,NA,NA
Sardinella_zunasi,Actinopterygii,Clupeiformes,Clupeidae,Sardinella,zunasi,,3.1,16.3,16.5,1.9,NA,NA,NA,NA,225,NA
Sardinops_sagax,Actinopterygii,Clupeiformes,Clupeidae,Sardinops,sagax,,2.8,18.76666667,8.7325,2,1.6,8,15.7,32,170.4666667,64
Satyrichthys_rieffeli,Actinopterygii,Scorpaeniformes,Peristediidae,Satyrichthys,rieffeli,,3.5,19.3,1,2.1,NA,NA,NA,NA,91,NA
Saurida_undosquamis,Actinopterygii,Aulopiformes,Synodontidae,Saurida,undosquamis,,4.5,20.8,0.5,0.4,NA,NA,NA,NA,93,NA
Scomber_australasicus,Actinopterygii,Perciformes,Scombridae,Scomber,australasicus,,4.23,23,5.1,1.6,1.1,8,12.6,4.3,146,59
Scomber_japonicus,Actinopterygii,Perciformes,Scombridae,Scomber,japonicus,,3.38,19,12.4,1.6,1.1,37,12.9,5.1,198,61
Scomber_scombrus,Actinopterygii,Perciformes,Scombridae,Scomber,scombrus,,3.63,17.2,26.8,0.9,0.9,44,8.1,10,326,68
Scomberomorus_cavalla,Actinopterygii,Perciformes,Scombridae,Scomberomorus,cavalla,,4.4,20.9,3.1,0.5,0.6,17,0.55,NA,112,41
Scomberomorus_commerson,Actinopterygii,Perciformes,Scombridae,Scomberomorus,commerson,,4.5,19.8,3.6,2,0.4,30,NA,NA,112,NA
Scomberomorus_guttatus,Actinopterygii,Perciformes,Scombridae,Scomberomorus,guttatus,,4.3,20.9,2,0.8,0.78,NA,NA,NA,102,NA
Scomberomorus_koreanus,Actinopterygii,Perciformes,Scombridae,Scomberomorus,koreanus,,4.2,17.9,4.8,0.7,NA,NA,NA,NA,121,NA
Scomberomorus_niphonius,Actinopterygii,Perciformes,Scombridae,Scomberomorus,niphonius,,4.5,19.73333333,7.366666667,0.7,0.8,12,4,7,151,65
Scombrops_boops,Actinopterygii,Perciformes,Scombropidae,Scombrops,boops,,4.19,18.75,10.05,0.65,0.4,8,1.9,4,173.5,59
Scorpaena_neglecta,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena,neglecta,,3.8,15.5,0.2,0.9,NA,NA,NA,NA,70,NA
Scorpaenopsis_cirrosa,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaenopsis,cirrhosa,,4.2,19,0.3,1.1,NA,NA,NA,NA,83,NA
Sebastes_alutus,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,alutus,,3.48,16.45,2.75,0.25,0.4,20,1.6,3,96,52
Sebastes_hubbsi,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,hubbsi,,3.5,18.3,1.1,0.9,NA,NA,NA,NA,88,NA
Sebastes_inermis,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,inermis,,4,19.3,1,0.6,NA,NA,NA,NA,93,NA
Sebastes_iracundus,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,iracundus,,3.83,16.3,8,0.2,0.4,85,3.3,3,144,55
Sebastes_matsubarai,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,matsubarae,,3.83,16.8,2.3,0.3,0.4,26,0.7,1,93,56
Sebastes_oblongus,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,oblongus,,3.7,21.3,1.3,0.7,NA,NA,NA,NA,102,NA
Sebastes_pachycephalus,Actinopterygii,Salmoniformes,Salmonidae,Sebastes,pachycephalus,,3.7,19.1,0.7,0.8,NA,NA,NA,NA,88,NA
Sebastes_schlegelii,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,schlegeli,,3.8,21.4,3.2,0.5,NA,NA,NA,NA,121,NA
Sebastes_taczanowskii,Actinopterygii,Perciformes,Sciaenidae,Sebastes,taczanowskii,,3.6,19.7,0.1,1.7,NA,NA,NA,NA,85,NA
Sebastes_thompsoni,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,thompsoni,,3.7,18.6,4.6,1.5,NA,NA,NA,NA,125,NA
Sebastes_vulpes,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,vulpes,,4.3,22.4,5.8,1,NA,NA,NA,NA,149,NA
Sebastiscus_marmoratus,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastiscus,marmoratus,,3.67,19.6,0.45,0.45,0.5,3,1.2,2,87.5,45
Sebastolobus_macrochir,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,,3.2,13.6,21.7,0.3,0.4,65,1,4,262,74
Semicossyphus_reticulatus,Actinopterygii,Perciformes,Labridae,Semicossyphus,reticulatus,,3.6,18.5,1.7,0.3,NA,NA,NA,NA,96,NA
Seriola_dumerili,Actinopterygii,Perciformes,Carangidae,Seriola,dumerili,,4.66,21,4.2,0.6,0.7,4,5.3,4,129,62
Seriola_lalandi,Actinopterygii,Perciformes,Carangidae,Seriola,lalei,,4.16,22.45,3.2,0.85,0.7,19,2.1,5,125.5,68
Seriola_quinqueradiata,Actinopterygii,Perciformes,Carangidae,Seriola,quinqueradiata,,3.96,21.2,9.2,1,0.7,50,3.8,8,179,72
Seriolella_punctata,Actinopterygii,Perciformes,Centrolophidae,Seriolella,punctata,,3.4,18.6,7.9,0.6,0.5,100,1.8,3,153,46
Setipinna_phasa,Actinopterygii,Clupeiformes,Engraulidae,Setipinna,phasa,,3.3,17.7,3.8,1.8,3.2,12,NA,NA,105,NA
Setipinna_taty,Actinopterygii,Clupeiformes,Engraulidae,Setipinna,taty,,3.2,19.3,2.7,2.3,1.6,8,NA,NA,101,NA
Siganus_fuscescens,Actinopterygii,Perciformes,Siganidae,Siganus,fuscescens,,2.3,20.3,1.2,1.2,NA,NA,NA,NA,97,NA
Sillago_japonica,Actinopterygii,Perciformes,Sillaginidae,Sillago,japonica,,3.45,18.5,0.2,0.1,0.4,1,2.2,0.7,80,88
Sillago_sihama,Actinopterygii,Perciformes,Sillaginidae,Sillago,sihama,,3.3,19.5,1.1,2.3,NA,NA,NA,NA,93,NA
Silurus_asotus,Actinopterygii,Siluriformes,Siluridae,Silurus,asotus,,4.4,15.1,5.3,0.8,NA,NA,NA,NA,114,NA
Siniperca_scherzeri,Actinopterygii,Perciformes,Percichthyidae,Siniperca,scherzeri,,3.8,17.2,4.1,2.1,NA,NA,NA,NA,111,NA
Sperata_seenghala,Actinopterygii,Siluriformes,Bagridae,Mystus,seenghala,,3.8,15.9,1.3,0.7,0.23,NA,NA,NA,75,NA
Sphyraena_japonica,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena,japonica,,4.2,18.9,7.2,0.3,NA,NA,NA,NA,148,NA
Sphyraena_pinguis,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena,pinguis,,4.38,19.7,4,0.6,0.5,12,2.3,11,122,58
Spratelloides_gracilis,Actinopterygii,Clupeiformes,Clupeidae,Spratelloides,gracilis,,3.06,18.8,1.4,1.1,1.9,0,8.3,10,93,75
Sprattus_fuegensis,Actinopterygii,Clupeiformes,Clupeidae,Sprattus,fuegensis,,3.4,14,8.9,NA,NA,NA,NA,NA,136,NA
Sprattus_sprattus,Actinopterygii,Clupeiformes,Clupeidae,Sprattus,sprattus,,3,22.63,13.37,NA,NA,NA,NA,NA,NA,NA
Stenodus_leucichthys,Actinopterygii,Salmoniformes,Salmonidae,Stenodus,leucichthys,,4.2,19,6.95,0.4,0.3,NA,NA,NA,144.26,NA
Stephanolepis_cirrhifer,Actinopterygii,Tetraodontiformes,Monacanthidae,Stephanolepis,cirrhifer,,2.84,18.95,0.1,0.3,0.4,2,1.3,43,81.5,47
Stichaeus_grigorjewi,Actinopterygii,Perciformes,Stichaeidae,Stichaeus,grigorjewi,,4.4,19.1,1,1.2,NA,NA,NA,NA,90,NA
Strangomera_bentincki,Actinopterygii,Clupeiformes,Clupeidae,Clupea,bentincki,,2.7,16.5,14.3,NA,NA,NA,NA,NA,197.9,NA
Strongylura_anastomella,Actinopterygii,Beloniformes,Belonidae,Strongylura,anastomella,,4.5,19.8,1.3,0.5,NA,NA,NA,NA,97,NA
Suggrundus_meerdervoortii,Actinopterygii,Scorpaeniformes,Platycephalidae,Suggrundus,meerdervoorti,,3.7,17.5,0.1,0.2,0.6,2,3,11,75,52
Tachysurus_fulvidraco,Actinopterygii,Siluriformes,Bagridae,Pseudobagrus,fulvidraco,,3.5,15.55,5.2,0.9,NA,NA,NA,NA,115,NA
Takifugu_pardalis,Actinopterygii,Tetraodontiformes,Tetraodontidae,Takifugu,pardalis,,3.3,18.9,0.1,2.5,NA,NA,NA,NA,83,NA
Takifugu_poecilonotus,Actinopterygii,Tetraodontiformes,Tetraodontidae,Takifugo,poecilonotus,,3.2,15.9,0.5,1,NA,NA,NA,NA,72,NA
Takifugu_porphyreus,Actinopterygii,Tetraodontiformes,Tetraodontidae,Takifugu,porphyreus,,3.38,20.2,0.35,0.25,1.5,7,3,6,89,55
Takifugu_rubripes,Actinopterygii,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes,,3.6,19.05,0.25,0.25,0.9,3,1.9,4,84,65
Takifugu_stictonotus,Actinopterygii,Tetraodontiformes,Tetraodontidae,Takifugu,stictonotus,,3.4,19.3,0.3,3.1,NA,NA,NA,NA,85,NA
Takifugu_vermicularis,Actinopterygii,Tetraodontiformes,Tetraodontidae,Takifugu,vermicularis,,3.3,20.25,0.3,1.2,NA,NA,NA,NA,89.5,NA
Takifugu_xanthopterus,Actinopterygii,Tetraodontiformes,Tetraodontidae,Takifugu,xanthopterus,,3.4,19.3,0.2,4.4,NA,NA,NA,NA,85,NA
Tanakius_kitaharae,Actinopterygii,Perciformes,Carangidae,Tanakius,kitaharae,,3.2,18.3,1.3,1.9,NA,NA,NA,NA,90,NA
Tenualosa_ilisha,Actinopterygii,Clupeiformes,Clupeidae,Tenualosa,ilisha,,2.9,18,16.8,1.3,0.54,NA,NA,NA,223,NA
Kajikia_audax,Actinopterygii,Perciformes,Istiophoridae,Tetrapturus,audax,,4.5,23.1,1.8,0.6,0.6,8,4.3,12,115,46
Thamnaconus_modestus,Actinopterygii,Tetraodontiformes,Monacanthidae,Thamnaconus,modestus,,3.4,18.05,0.25,0.45,0.5,0,1.4,8,80,47
Theragra_chalcogramma,Actinopterygii,Gadiformes,Gadidae,Theragra,chalcogramma,,3.57,17.45,0.5,0.85,0.5,10,2.9,0.5,78,76
Thunnus_alalunga,Actinopterygii,Perciformes,Scombridae,Thunnus,alalunga,,4.3,26,0.7,0.9,0.5,4,2.8,7,117,49
Thunnus_albacares,Actinopterygii,Perciformes,Scombridae,Thunnus,albacares,,4.41,24.1,0.85,1.8,0.5,2,5.8,6,110,37
Thunnus_maccoyii,Actinopterygii,Perciformes,Scombridae,Thunnus,maccoyii,,3.93,23.3,4.1,1.6,0.5,39,0.7,NA,132,53
Thunnus_obesus,Actinopterygii,Perciformes,Scombridae,Thunnus,obesus,,4.42,22.8,1.2,1.4,0.4,3,4.5,2,108,43
Thunnus_thynnus,Actinopterygii,Perciformes,Scombridae,Thunnus,thynnus,,4.45,26.2,3.3,2.05,0.5,61,6.9,12,142,58
Thymallus_arcticus,Actinopterygii,Salmoniformes,Salmonidae,Thymallus,arcticus,,3.3,20,1.9,1,0.7,NA,NA,NA,96.97,NA
Thyrsites_atun,Actinopterygii,Perciformes,Gempylidae,Thyrsites,atun,,3.63,21.7,3,0.6,0.5,55,6.5,2,120,63
Synodus_myops,Actinopterygii,Aulopiformes,Synodontidae,Trachinocephalus,myops,,4.4,20,1.3,0.6,NA,NA,NA,NA,97,NA
Trachipterus_ishikawae,Actinopterygii,Lampriformes,Trachipteridae,Trachipterus,ishikawae,,3.9,18.1,0.1,0.3,NA,NA,NA,NA,79,NA
Trachurus_japonicus,Actinopterygii,Perciformes,Carangidae,Trachurus,japonicus,,3.4,20.2,4.65,0.75,1.1,7,7.1,8.9,129.5,68
Trachurus_picturatus,Actinopterygii,Perciformes,Carangidae,Trachurus,picturatus,,3.3,19,8,NA,NA,NA,NA,NA,149,NA
Trachurus_trachurus,Actinopterygii,Perciformes,Carangidae,Trachurus,trachurus,,3.71,19.6,9.1,1,0.9,16,8.1,8,169,78
Tribolodon_hakonensis,Actinopterygii,Cypriniformes,Cyprinidae,Tribolodon,hakonensis,,2.95,19.2,1.65,1.1,3.4,41,8.5,19,97.5,93
Trichiurus_lepturus,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,,4.42,17.5,14.2,0.6,0.5,52,0.9,14,207.5,72
Umbrina_canosai,Actinopterygii,Perciformes,Sciaenidae,Umbrina,canosai,,3.9,19.1,3.9,NA,NA,NA,NA,NA,113,NA
Upeneus_japonicus,Actinopterygii,Perciformes,Mullidae,Upeneus,japonicus,,3.6,7.1,19.5,1.4,NA,NA,NA,NA,248,NA
Uranoscopus_japonicus,Actinopterygii,Perciformes,Uranoscopidae,Uranoscopus,japonicus,,4,18.2,0.5,0.7,NA,NA,NA,NA,82,NA
Urophycis_brasiliensis,Actinopterygii,Gadiformes,Phycidae,Urophycis,brasiliensis,,3.8,17.6,1.2,2.1,NA,NA,NA,NA,83,NA
Verasper_variegatus,Actinopterygii,Pleuronectiformes,Pleuronectidae,Verasper,variegatus,,3.5,18.2,0.2,0.2,NA,NA,NA,NA,82,NA
Wallago_attu,Actinopterygii,Siluriformes,Siluridae,Wallago,attu,,3.7,15.4,2.1,0.8,0.27,1,NA,NA,80,NA
Xenentodon_cancila,Actinopterygii,Beloniformes,Belonidae,Xenentodon,cancila,,3.9,16.6,3.1,0.8,0.94,65,NA,NA,94,NA
Xiphias_gladius,Actinopterygii,Perciformes,Xiphiidae,Xiphias,gladius,,4.53,18.1,4.3,3.35,0.7,61,1.9,8.8,117,72
Zacco_platypus,Actinopterygii,Cypriniformes,Cyprinidae,Zacco,platypus,,3.05,18.85,4.3,1.25,2.5,10,11.3,10,120.5,91
Zalanthias_kelloggii,Actinopterygii,Perciformes,Serranidae,Plectranthias,kelloggi,azumanus,4,19,1.2,1,NA,NA,NA,NA,91,NA
Zebrias_zebra,Actinopterygii,Pleuronectiformes,Soleidae,Zebrias,zebra,,3.5,18.9,1.2,1.2,NA,NA,NA,NA,91,NA
Zenopsis_nebulosa,Actinopterygii,Zeiformes,Zeidae,Zenopsis,nebulosa,,4,20.3,1,0.8,NA,NA,NA,NA,95,NA
Zeus_faber,Actinopterygii,Zeiformes,Zeidae,Zeus,faber,,4.5,19.1,1.4,0.6,NA,NA,NA,NA,97,NA
Zoarces_gillii,Actinopterygii,Perciformes,Zoarcidae,Zoarces,gillii,,3.5,18.5,0.1,0.4,NA,NA,NA,NA,79,NA
